# TRAN_FACTOR_NAME_RDB	TF_SYNS_RDB	FINAL_STATE_RDB	CON_SYNS_RDB	CONFORMATION_TYPE_RDB	INTERACTION_TYPE_RDB	APO_HOLO_CONFOR_RDB	EFFECTOR_NAME_RDB	EFFECTOR_TYPE_RDB	EFF_SYNS_RDB		TRANSC_FACTOR_NAME_ECO	TF_SYNS_ECO	FINAL_STATE_ECO	CON_SYNS_ECO	CONFORMATION_TYPE_ECO	INTERACTION_TYPE_ECO	APO_HOLO_ECO	EFFECTOR_NAME_ECO	EFFECTOR_TYPE_ECO	EFF_SYNS_ECO
AcrR	DNA-binding transcriptional repressor AcrR,YbaH	AcrR-ethidium		Inactive	Allosteric	Holo	ethidium	negative	ethidium cation,homidium		DNA-binding transcriptional repressor AcrR	YbaH||AcrR	AcrR-ethidium		Inactive	None	None	ethidium	None	ethidium cation||homidium
AlaS	"Act,LovB,ala-act,alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor"	AlaS-L-alanine		Active	Allosteric	Holo	L-alanine	positive	"L-&alpha;-alanine,ala,alanine"		"alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor"	Act||LovB||AlaS||ala-act	AlaS-L-alanine DNA-binding transcriptional repressor		Active	None	None	L-alanine	None	"alanine||L-&alpha;-alanine||ala"
AllR	DNA-binding transcriptional repressor AllR,YbbU	AllR-allantoin		Active		Holo	allantoin	positive			DNA-binding transcriptional repressor AllR	YbbU||AllR	AllR-allantoin		Active	None	None	allantoin	None	
AllR	DNA-binding transcriptional repressor AllR,YbbU	AllR-glyox	AllR,B0506,YbbU	Inactive	Allosteric	Holo	glyoxylate	negative	glyox,glyoxalate,glyoxylic acid		DNA-binding transcriptional repressor AllR	YbbU||AllR	AllR-glyox	YbbU||B0506||AllR	Inactive	None	None	glyoxylate	None	glyoxalate||glyox||glyoxylic acid
AllS	DNA-binding transcriptional activator AllS,GlxA1,YbbS	AllS-allantoin	AllS,B0504,YbbS	Active	Allosteric	Holo	allantoin	positive			DNA-binding transcriptional activator AllS	AllS||YbbS||GlxA1	AllS-allantoin DNA-binding transcriptional activator	YbbS||B0504||AllS	Active	None	None	allantoin	None	
AlsR	DNA-binding transcriptional repressor AlsR,RpiR,YjcY	AlsR-D-allose	AlsR,RpiR,YjcY	Inactive	Allosteric	Holo	D-allose	negative			DNA-binding transcriptional repressor AlsR	AlsR||YjcY||RpiR	AlsR-allose	RpiR||YjcY||AlsR	Inactive	None	None	D-allose	None	
AraC	DNA-binding transcriptional dual regulator AraC	AraC-arabinose	AraC-arabinose	Active	Allosteric	Holo	"&alpha;-L-arabinopyranose"	positive	"&alpha;-L-arabinose,arabinose"		DNA-binding transcriptional dual regulator AraC	AraC	AraC-L-arabinose DNA-binding transcriptional activator	AraC-arabinose	Active	None	None	"&alpha;-L-arabinopyranose"	None	"&alpha;-L-arabinose||arabinose"
ArgP	DNA-binding transcriptional dual regulator ArgP,IciA	ArgP-arginine		Active	Allosteric	Holo	L-arginine	positive	2-amino-5-guanidinovaleric acid,L-arg,R,arg,arginine		DNA-binding transcriptional dual regulator ArgP	ArgP||IciA	ArgP-arginine  DNA-binding transcriptional dual regulator		Active	None	None	L-arginine	None	2-amino-5-guanidinovaleric acid||R||arginine||L-arg
ArgP	DNA-binding transcriptional dual regulator ArgP,IciA	ArgP-lysine		Inactive	Allosteric	Holo	L-lysine	negative	2,6-diaminohexanoic acid,K,L-lys,lys,lysine,lysine acid		DNA-binding transcriptional dual regulator ArgP	ArgP||IciA	ArgP-lysine		Inactive	None	None	L-lysine	None	K||lysine||L-lys||2,6-diaminohexanoic acid||lysine acid
ArgR	DNA-binding transcriptional dual regulator ArgR,XerA	ArgR-L-arginine	ArgR-arg	Active	Allosteric	Holo	L-arginine	positive	2-amino-5-guanidinovaleric acid,L-arg,R,arg,arginine		DNA-binding transcriptional dual regulator ArgR	XerA||ArgR	ArgR-L-arginine DNA-binding transcriptional dual regulator	ArgR-arg	Active	None	None	L-arginine	None	2-amino-5-guanidinovaleric acid||R||arginine||L-arg
ArsR	ArsE,DNA-binding transcriptional repressor ArsR	ArsR-antimonite		Inactive	Allosteric	Holo	antimonite	negative			DNA-binding transcriptional repressor ArsR	ArsE||ArsR	ArsR-antimonite		Inactive	None	None	antimonite	None	
ArsR	ArsE,DNA-binding transcriptional repressor ArsR	ArsR-arsenite		Inactive	Allosteric	Holo	arsenite	negative	As(OH)<sub>3</sub>,arsenic (III) oxide,arsenic (III) trioxide,arsenic oxide,arsenic sesquioxide,arsenic trioxide,arsenicum album,arsenious oxide,arsenolite,arsenous acid anhydride,arsenous anhydride,arsenous oxide,arsenous oxide anhydride,arsenous trioxide,arsodent,claudelite,clauditite,crude arsenic,diarsenic oxide,diarsenic trioxide,diarsonic trioxide,white arsenic		DNA-binding transcriptional repressor ArsR	ArsE||ArsR	ArsR-arsenite		Inactive	None	None	arsenite	None	As(OH)<sub>3</sub>||arsenic trioxide||arsenic oxide||arsenic (III) oxide||arsenous trioxide||arsenic sesquioxide||arsenous oxide||white arsenic||diarsenic trioxide||crude arsenic||arsenious oxide||arsenic (III) trioxide||arsenous anhydride||arsenolite||arsenous acid anhydride||arsenous oxide anhydride||arsodent||claudelite||clauditite||arsenicum album||diarsonic trioxide||diarsenic oxide
AsnC	DNA-binding transcriptional dual regulator AsnC	AsnC-L-asparagine		Inactive	Allosteric	Holo	L-asparagine	negative	"&alpha;-aminosuccinamic acid,(-)-asparagine,(S)-2,4-diamino-4-oxobutanoic acid,(S)-asparagine,2,4-diamino-4-oxobutanoic acid, (S)-,2-aminosuccinamic acid, L-,L-&beta;-asparagine,L-2,4-diamino-4-oxobutanoic acid,L-asn,L-asparatamine,N,agedoite,altheine,asn,asparagine,asparagine acid,aspartic acid &beta;-amide,butanoic acid, 2,4-diamino-4-oxo-, (S)-"		DNA-binding transcriptional dual regulator AsnC	AsnC	AsnC-L-asparagine		Inactive	None	None	L-asparagine	None	"asparagine||&alpha;-aminosuccinamic acid||(-)-asparagine||(S)-2,4-diamino-4-oxobutanoic acid||(S)-asparagine||2,4-diamino-4-oxobutanoic acid, (S)-||2-aminosuccinamic acid, L-||agedoite||altheine||asparagine acid||aspartic acid &beta;-amide||butanoic acid, 2,4-diamino-4-oxo-, (S)-||L-2,4-diamino-4-oxobutanoic acid||L-asparatamine||L-&beta;-asparagine||N||L-asn"
BetI	DNA-binding transcriptional repressor BetI	BetI-choline	B0313,BetI	Inactive	Allosteric	Holo	choline	negative	(2-hydroxyethyl)trimethylammonium		DNA-binding transcriptional repressor BetI	BetI	BetI-choline	B0313||BetI	Inactive	None	None	choline	None	(2-hydroxyethyl)trimethylammonium
BirA	BioR,DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA,DhbB,biotin-[acetylCoA carboxylase] holoenzyme synthetase and biotin operon repressor	BirA-biotinyl-5'-adenylate	BioR,BirA,BirA-bio-5'-AMP,DhbB	Active	Allosteric	Holo	biotinyl-5'-adenylate	positive	biotinyl-5'-AMP		DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA	BirA||BioR||DhbB||biotin-[acetylCoA carboxylase] holoenzyme synthetase and biotin operon repressor	BirA-bio-5'-AMP DNA-binding transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase	DhbB||BioR||BirA||BirA-bio-5'-AMP	Active	None	None	biotinyl-5'-adenylate	None	biotinyl-5'-AMP
CaiF	DNA-binding transcriptional activator CaiF	CaiF-L-carnitine	CaiF-L-carnitine	Active		Holo	L-carnitine		"&gamma;-L-trimethyl-&beta;-hydroxybutyrobetaine,&gamma;-trimethyl-hydroxybutyrobetaine,(<i>R</i>)-carnitine,3-carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium,3-hydroxy-4-trimethylammoniobutanoate,R-(-)-3-hydroxy-4-trimethylaminobutyrate,bicarnesine,vitamin B T,vitamin Bt"		DNA-binding transcriptional activator CaiF	CaiF	CaiF-L-carnitine DNA-binding Transcriptional Activator		Active	None	None	L-carnitine	None	"&gamma;-trimethyl-hydroxybutyrobetaine||3-hydroxy-4-trimethylammoniobutanoate||R-(-)-3-hydroxy-4-trimethylaminobutyrate||vitamin B T||bicarnesine||(<i>R</i>)-carnitine||&gamma;-L-trimethyl-&beta;-hydroxybutyrobetaine||vitamin Bt||3-carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium"
Cbl	DNA-binding transcriptional activator Cbl	Cbl-APS	B1987,Cbl	Inactive	Allosteric	Holo	adenosine 5'-phosphosulfate	negative	APS,adenosine 5'-sulphatophosphate,adenosine phosphosulfate,adenylyl-sulfate		DNA-binding transcriptional activator Cbl	Cbl	Cbl-APS	B1987||Cbl	Inactive	None	None	adenosine 5'-phosphosulfate	None	adenylyl-sulfate||adenosine phosphosulfate||adenosine 5'-sulphatophosphate
ChbR	CelD,DNA-binding transcriptional dual regulator ChbR	ChbR-<i>N</i>-monoacetylchitobiose 6'-phosphate		Active	Allosteric	Holo	<i>N</i>-monoacetylchitobiose 6'-phosphate	positive			DNA-binding transcriptional dual regulator ChbR	ChbR||CelD	ChbR-<i>N</i>-monoacetylchitobiose 6'-phosphate		Active	None	None	<i>N</i>-monoacetylchitobiose 6'-phosphate	None	
