# Gene	Compounds
prpR	CPD-622
ilvY	2-ACETO-LACTATE
lldR	L-LACTATE
mprA	CPD-8179
yebK	2-KETO-3-DEOXY-6-P-GLUCONATE
mhpR	3-HYDROXYPHENYL-PROPIONATE
hcaR	3-PHENYLPROPIONATE
idnR	5-DEHYDROGLUCONATE
csqR	CPD-10247
metJ	ADENINE
cbl	APS
allS	ALLANTOIN 
allR	ALLANTOIN
lacI	ALLOLACTOSE
uxuR	CPD-12523
uxuR	CPD-14488
exuR	CPD-14488
xylR	XYLOSE
araC	ARABINOSE
fadR	ACYL-COA
arsR	ANTIMONITE
arsR	CPD-763
malT	ATP
dnaA	ATP
cra	FRU1P
birA	BIO-5-AMP
mprA	CPD-7970
betI	CHOLINE
rcnR	CO+2
cueR	CU+
comR	CU+
cynR	CPD-69
crp	CAMP
cytR	CYTIDINE
uxuR	FRUCTURONATE
dgoR	D-GALACTONATE
galS	D-Galactose
galR	D-Galactose
gntR	GLUCONATE
rbsR	RIBOSE
dsdC	D-SERINE
srlR	SORBITOL
treR	CPD-15991
xynR	D-XYLONATE
acrR	CPD0-1938
fur	FE+2
frmR	FORMALDEHYDE
fhlA	FORMATE
glaR	GLUTARATE
glpR	GLYCEROL
gcvR	GLY
gcvA	GLY
glcC	GLYCOLLATE
iclR	GLYOX
allR	GLYOX
purR	HYPOXANTHINE
alaS	L-ALPHA-ALANINE
argR	ARG
argP	ARG
ulaR	L-ASCORBATE-6-PHOSPHATE
asnC	ASN
caiF	CARNITINE
fucR	FUCULOSE-1P
metR	HOMO-CYS
lrp	LEU
argP	LYS
tyrR	PHE
rhaS	L-rhamnose
rhaR	L-rhamnose
ttdR	TARTRATE
trpR	TRP
tyrR	TYR
malT	MALTOTRIOSE
melR	MELIBIOSE
nemR	METHYL-GLYOXAL
mntR	MN+2
modE	CPD-3
nagC	N-ACETYL-D-GLUCOSAMINE-6-P
murR	CPD0-881
nanR	N-ACETYLNEURAMINATE
chbR	CPD0-2501
frlR	FRUCTOSELYSINE-6-PHOSPHATE
nhaR	NA+
rcnR	NI+2
nikR	NI+2
nfeR	NI+2
nsrR	NITRIC-OXIDE
cysB	ACETYLSERINE
paaX	CPD-207
pyrR	PYRUVATE
pdhR	PYRUVATE
iclR	PYRUVATE
metJ	S-ADENOSYLMETHIONINE
metJ	5-METHYLTHIOADENOSINE
mprA	CPD-110
marR	CPD-110
glpR	GLYCEROL-3P
rutR	THYMINE
rutR	URACIL
xapR	XANTHOSINE
zur	ZN+2
zntR	ZN+2
nrdR	ZN+2
