# Gene	Compounds
PrpR	CPD-622
IlvY	2-ACETO-LACTATE
LldR	L-LACTATE
MprA	CPD-8179
YebK	2-KETO-3-DEOXY-6-P-GLUCONATE
MhpR	3-HYDROXYPHENYL-PROPIONATE
HcaR	3-PHENYLPROPIONATE
IdnR	5-DEHYDROGLUCONATE
CsqR	CPD-10247
MetJ	ADENINE
Cbl	APS
AllS	ALLANTOIN
AllR	ALLANTOIN
LacI	ALLOLACTOSE
UxuR	CPD-12523
UxuR	CPD-14488
ExuR	CPD-14488
XylR	XYLOSE
AraC	ARABINOSE
FadR	ACYL-COA
ArsR	ANTIMONITE
ArsR	CPD-763
MalT	ATP
DnaA	ATP
Cra	FRU1P
BirA	BIO-5-AMP
MprA	CPD-7970
BetI	CHOLINE
RcnR	CO+2
CueR	CU+
ComR	CU+
CynR	CPD-69
CRP	CAMP
CytR	CYTIDINE
UxuR	FRUCTURONATE
DgoR	D-GALACTONATE
GalS	D-Galactose
GalR	D-Galactose
GntR	GLUCONATE
RbsR	RIBOSE
DsdC	D-SERINE
SrlR	SORBITOL
TreR	CPD-15991
XynR	D-XYLONATE
AcrR	CPD0-1938
Fur	FE+2
FrmR	FORMALDEHYDE
FhlA	FORMATE
GlaR	GLUTARATE
GlpR	GLYCEROL
GcvR	GLY
GcvA	GLY
GlcC	GLYCOLLATE
IclR	GLYOX
AllR	GLYOX
PurR	HYPOXANTHINE
AlaS	L-ALPHA-ALANINE
ArgR	ARG
ArgP	ARG
UlaR	L-ASCORBATE-6-PHOSPHATE
AsnC	ASN
CaiF	CARNITINE
FucR	FUCULOSE-1P
MetR	HOMO-CYS
Lrp	LEU
ArgP	LYS
TyrR	PHE
RhaS	L-rhamnose
RhaR	L-rhamnose
TtdR	TARTRATE
TrpR	TRP
TyrR	TYR
MalT	MALTOTRIOSE
MelR	MELIBIOSE
NemR	METHYL-GLYOXAL
MntR	MN+2
ModE	CPD-3
NagC	N-ACETYL-D-GLUCOSAMINE-6-P
MurR	CPD0-881
NanR	N-ACETYLNEURAMINATE
ChbR	CPD0-2501
FrlR	FRUCTOSELYSINE-6-PHOSPHATE
NhaR	NA+
RcnR	NI+2
NikR	NI+2
NfeR	NI+2
NsrR	NITRIC-OXIDE
CysB	ACETYLSERINE
PaaX	CPD-207
PyrR	PYRUVATE
PdhR	PYRUVATE
IclR	PYRUVATE
MetJ	S-ADENOSYLMETHIONINE
MetJ	5-METHYLTHIOADENOSINE
MprA	CPD-110
MarR	CPD-110
GlpR	GLYCEROL-3P
RutR	THYMINE
RutR	URACIL
XapR	XANTHOSINE
Zur	ZN+2
ZntR	ZN+2
NrdR	ZN+2
