#Created by Daniela Ledezma-Tejeida. Inquiries to dledezma@imsb.biol.ethz.ch
# V1:05.2021
# TF_name	bnumber	Uniprot_ID	metabolite_name	KEGG_ID
AcrR	b0464	P0ACS9	ethidium	CHEBI:42478
AcrR	b0464	P0ACS9	Proflavin	C11181
Ada	b2213	P06134	Methyl	
AidB	b4187	P33224	isovaleryl-CoA	C02939
AlaS	b2697	P00957	L-alanine	C00041 
AllR	b0506	P0ACN4	allantoin	C01551
AllR	b0506	P0ACN4	glyoxylate	C00048
AllS	b0504	P0ACR0	allantoin	C01551
AlsR	b4089	P0ACS7	D-allose	C01487
AraC	b0064	P0A9E0	arabinose	C02604
AraC	b0064	P0A9E0	D-fucose	C02095
ArgP	b2916	P0A8S1	L-arginine	C00062
ArgP	b2916	P0A8S1	L-lysine	C00047
ArgR	b3237	P0A6D0	L-arginine	C00062
ArsR	b3501	P37309	antimonite	CHEBI:30297
ArsR	b3501	P37309	arsenite	C06697
AsnC	b3743	P0ACI6	L-asparagine	C00152
BetI	b0313	P17446	choline	C00114
BirA	b3973	P06709	biotinyl-5'-adenylate	C05921
CaiF	b0034	P0AE58	L-carnitine	C00318
Cbl	b1987	Q47083	adenosine 5'-phosphosulfate	C00224
Cbl	b1987	Q47083	Thiosulphate	C00320
ChbR	b1735	P17410	monoacetylchitobiose 6'-phosphate	C21152
ComR	b1111	P75952	Cu	C00070
Cra	b0080	P0ACP1	D-fructofuranose 1-phosphate	C01094 
CRP	b3357	P0ACJ8	cyclic-AMP	C00575
CsqR	b3884	P32144	6-sulfo-D-quinovose	C22077
CueR	b0487	P0A9G4	Ag	C06710 
CueR	b0487	P0A9G4	Au	CHEBI:29287 
CueR	b0487	P0A9G4	Cu	C00070
CynR	b0338	P27111	cyanate	C01417
CysB	b1275	P0A9F3	acetyl-L-serine	C00979
CysB	b1275	P0A9F3	N-acetyl-L-serine	C00979
CysB	b1275	P0A9F3	Sulphide	C00297
CysB	b1275	P0A9F3	Thiosulphate	C00f320
CytR	b3934	P0ACN7	cytidine	C00475
Dan	b3060	P45463	L-tartrate	C00898
DeoR	b0840	P0ACK5	Deoxyribose-5-phosphate	C00673
DgoR	b4479	P31460	D-galactonate	C00880
DnaA	b3702	P03004	ATP	C00002
DsdC	b2364	P46068	D-serine	C00740
ExuR	b3094	P0ACL2	D-galacturonate	C00333
ExuR	b3094	P0ACL2	D-glucuronate	C00191   
FadR	b1187	P0A8V6	an acyl-CoA	C00040
FhlA	b2731	P19323	formate	C00058
FNR	b1334	P0A9E5	[2Fe-2S] oxidized	C22151
FNR	b1334	P0A9E5	[4Fe-4S] reduced	
FucR	b2805	P0ACK8	L-fuculose 1-phosphate	C01099
Fur	b0683	P0A9A9	Fe	C14818
Fur	b0683	P0A9A9	Mn	C19610
GalR	b2837	P03024	D-galactose	C00124
GalS	b2151	P25748	D-galactose	C00124
GcvA	b2808	P0A9F6	glycine	C00037
GcvA	b2808	P0A9F6	Purine	C15587
GlaR	b2664	P37338	glutarate	C00489
GlcC	b2980	P0ACL5	Acetate	C00033
GlcC	b2980	P0ACL5	glycolate	C00160
GlpR	b3423	P0ACL0	glycerol	C00116
GlpR	b3423	P0ACL0	glycerol 3-phosphate	C00093
GntR	b3438	P0ACP5	D-gluconate	C00257 
HcaR	b2537	Q47141	3-phenylpropanoate	C05629
HypT	b4327	P39376	Met-oxidized	C02989
IclR	b4018	P16528	glyoxylate	C00048
IclR	b4018	P16528	pyruvate	C00022
IdnR	b4264	P39343	5-ketogluconate	C01062
IdnR	b4264	P39343	Idonate	C00770
