# From bin/get_pathway_compounds.pl on Sun Jul 26 11:16:24 2020
# Pathway	Enzymes
SALVADEHYPOX-PWY	DEOD-CPLX,XANTHOSINEPHOSPHORY-CPLX,EG12159-MONOMER,ADENODEAMIN-MONOMER,CPLX0-761,APHA-CPLX,EG10634-MONOMER,EG11817-MONOMER,USHA-MONOMER,ALKAPHOSPHA-CPLX
METHGLYUT-PWY	GLYOXI-CPLX,GLYOXII-MONOMER,CPLX0-3954,G6475-MONOMER,DLACTDEHYDROGFAD-MONOMER,G7558-MONOMER,MONOMER0-149,MONOMER0-148,G6967-MONOMER,CPLX0-7667,GLYCDEH-CPLX,ALD-CPLX,L-LACTDEHYDROGFMN-MONOMER,METHYLGLYREDUCT-MONOMER
PWY0-1499	
PWY0-1559	
GLUAMCAT-PWY	GLUCOSAMINE-6-P-DEAMIN-CPLX,NAG6PDEACET-CPLX
PWY0-1470	
PWY0-662	PRPPSYN-MONOMER
PWY0-1503	
ECASYN-PWY	UDPMANACATRANS-MONOMER,G7800-MONOMER,CPLX0-8011,TDPFUCACTRANS-MONOMER,CPLX0-7990,CPLX0-8034,CPLX0-8012,DTDPGLUCDEHYDRAT2-MONOMER,CPLX0-8013,CPLX0-8008,EG11486-MONOMER
KDOSYN-PWY	KDOTRANS-MONOMER
PWY0-1482	
PWY0-1509	
OANTIGEN-PWY	GALPMUT-MONOMER,DTDPDEHYDRHAMEPIM-MONOMER,DTDPDEHYRHAMREDUCT-MONOMER,DTDPGLUCDEHYDRAT-CPLX,DTDPGLUCDEHYDRAT2-MONOMER,CPLX0-8034,CPLX0-8012,NAG1P-URIDYLTRANS-CPLX,L-GLN-FRUCT-6-P-AMINOTRANS-CPLX,PHOSGLUCOSAMINEMUT-MONOMER,CPLX0-7877
GALACTMETAB-PWY	GALACTOKIN-MONOMER,GALACTURIDYLYLTRANS-CPLX,UDPGLUCEPIM-CPLX,CPLX0-8205,ALDOSE1EPIM-MONOMER
PWY0-1487	
PWY0-1241	CPLX0-3661,EG11736-MONOMER,CPLX0-3681,CPLX0-7660
PWY0-1515	
PWY0-1280	ALD-CPLX,LACTALDREDUCT-CPLX
PWY0-1493	
GLYCOL-GLYOXDEG-PWY	GLYOCARBOLIG-CPLX,CPLX0-7616,GKI-MONOMER,GLY3KIN-MONOMER,MALATE-SYNTHASE,MALSYNG-MONOMER,CPLX0-7458,ALD-CPLX,LACTALDREDUCT-CPLX
PWY0-1498	
GLYCEROLMETAB-PWY	GLYCDEH-CPLX,CPLX0-2081
PWY0-381	GLYCEROL-KIN-CPLX,GLYCPDIESTER-PERI-CPLX,GLYCPDIESTER-CYTO-MONOMER,AERGLYC3PDEHYDROG-CPLX,ANGLYC3PDEHYDROG-CPLX
OXIDATIVEPENT-PWY	6PGLUCONOLACT-MONOMER,GLU6PDEHYDROG-MONOMER,6PGLUCONDEHYDROG-CPLX
PROSYN-PWY	PYRROLINECARBREDUCT-CPLX,GLUTSEMIALDEHYDROG-CPLX,GLUTKIN-CPLX
NONOXIPENT-PWY	TRANSALDOLB-CPLX,TRANSALDOLA-MONOMER,TRANSKETOI-CPLX,CPLX0-1261,RIBULP3EPIM-MONOMER,RIB5PISOMB-CPLX,RIB5PISOMA-CPLX
PWY0-1550	
PENTOSE-P-PWY	TRANSALDOLB-CPLX,TRANSALDOLA-MONOMER,TRANSKETOI-CPLX,CPLX0-1261,RIBULP3EPIM-MONOMER,RIB5PISOMB-CPLX,RIB5PISOMA-CPLX,6PGLUCONOLACT-MONOMER,GLU6PDEHYDROG-MONOMER,6PGLUCONDEHYDROG-CPLX
PWY0-1546	G6621-MONOMER,G7147-MONOMER,CPLX0-7989,G6661-MONOMER,CPLX0-3001
PWY0-521	CPLX0-821,G7726-MONOMER,CPLX0-3861
HCAMHPDEG-PWY	CPLX0-7950,DHPDIOXYGEN-CPLX,MHPHYDROXY-MONOMER,PHENPRODIOLDEHYDROG-MONOMER,HCAMULTI-CPLX
PWY-6952	GLYCPDIESTER-PERI-CPLX,GLYCPDIESTER-CYTO-MONOMER,AERGLYC3PDEHYDROG-CPLX,ANGLYC3PDEHYDROG-CPLX
PWY-6690	HCAMULTI-CPLX,DHPDIOXYGEN-CPLX,CPLX0-7950,PHENPRODIOLDEHYDROG-MONOMER,MHPHYDROXY-MONOMER
PWY-5509	COBS-MONOMER,RIBAZOLEPHOSPHAT-MONOMER,DMBPPRIBOSYLTRANS-CPLX
ENTNER-DOUDOROFF-PWY	KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX,PGLUCONDEHYDRAT-MONOMER
2PHENDEG-PWY	AMINEOXID-CPLX,PHENDEHYD-CPLX
PWY0-1261	CPLX0-7732,G6880-MONOMER,G6567-MONOMER,EG10041-MONOMER,G6452-MONOMER,NAG6PDEACET-CPLX,PHOSGLUCOSAMINEMUT-MONOMER,NAG1P-URIDYLTRANS-CPLX,G6621-MONOMER,G7147-MONOMER,EG12440-MONOMER,UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER,UDPNACETYLMURAMATEDEHYDROG-MONOMER
ILEUSYN-PWY	DIHYDROXYACIDDEHYDRAT-CPLX,BRANCHED-CHAINAMINOTRANSFER-CPLX,CPLX0-7643,ACETOLACTSYNIII-CPLX,ACETOLACTSYNII-CPLX,THREDEHYDSYN-CPLX
BGALACT-PWY	BETAGALACTOSID-CPLX
PWY0-1534	ASPAMINOTRANS-DIMER,EG11600-MONOMER
PWY0-522	EG11796-MONOMER
PWY0-501	CPLX0-782,EG11591-MONOMER
PWY0-1275	EG11796-MONOMER,CPLX0-782
PWY0-1338	CPLX0-7718,G7166-MONOMER,G7167-MONOMER,G7169-MONOMER,G7170-MONOMER
PWY-5194	SIROHEMESYN-CPLX
PWY-6163	AROC-CPLX,AROA-MONOMER,AROL-MONOMER,AROK-MONOMER,AROE-MONOMER,AROD-CPLX
ARO-PWY	AROB-MONOMER,AROG-CPLX,AROH-CPLX,AROF-CPLX,AROC-CPLX,AROA-MONOMER,AROL-MONOMER,AROK-MONOMER,CPLX0-7462,AROE-MONOMER,AROD-CPLX
GLYCOLYSIS-TCA-GLYOX-BYPASS	MALATE-SYNTHASE,MALSYNG-MONOMER,ISOCIT-LYASE,MALIC-NAD-CPLX,MALATE-DEHASE,FUMARASE-C,FUMARASE-B,FUMARASE-A,G6903-MONOMER,EG11162-MONOMER,SUCCCOASYN,2OXOGLUTARATEDEH-CPLX,ISOCITHASE-CPLX,CITRATE-SI-SYNTHASE,CPLX0-251,CPLX0-7760,CPLX0-7761,CPLX0-8160,EG12069-MONOMER,PKII-CPLX,PKI-COMPLEX,ENOLASE-CPLX,PGMI-MONOMER,PGK,GAPDH-A-CPLX,TPI,FRUCBISALD-CLASSII,FRUCBISALD-CLASSI,6PFK-2-CPX,6PFK-1-CPX,CPLX0-7877,PEPSYNTH-CPLX,F16B-CPLX,CPLX0-303,EG11239-MONOMER,CPLX0-7776,PHOSGLYCMUTASE,PYRUVATEDEH-CPLX
PWY-6519	EG10122-MONOMER,CPLX0-8006,FABZ-CPLX,CPLX0-8005,EG10119-MONOMER,FABB-CPLX,7KAPSYN-CPLX
GLYCOLYSIS-E-D	KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX,PGLUCONDEHYDRAT-MONOMER,PKII-CPLX,PKI-COMPLEX,ENOLASE-CPLX,PGMI-MONOMER,PGK,GAPDH-A-CPLX,TPI,FRUCBISALD-CLASSII,FRUCBISALD-CLASSI,6PFK-2-CPX,6PFK-1-CPX,CPLX0-7877,PEPSYNTH-CPLX,F16B-CPLX,CPLX0-303,EG11239-MONOMER,CPLX0-7776,PHOSGLYCMUTASE,GLU6PDEHYDROG-MONOMER,6PGLUCONOLACT-MONOMER
TREDEGLOW-PWY	TRE6PHYDRO-MONOMER,GLUCOKIN-MONOMER
PWY0-1517	6PFK-1-CPX,FRUCBISALD-CLASSII
GLYOXYLATE-BYPASS	MALIC-NAD-CPLX,MALATE-DEHASE,MALATE-SYNTHASE,ISOCIT-LYASE,CITRATE-SI-SYNTHASE,CPLX0-7760,CPLX0-7761
PWY0-1466	TREHALAPERI-MONOMER
PWY0-1182	TREHALACYTO-MONOMER,GLUCOKIN-MONOMER
PWY-5755	CHORPYRLY-MONOMER
ALANINE-VALINESYN-PWY	BRANCHED-CHAINAMINOTRANSFER-CPLX,CPLX0-8202,CPLX0-7465,VALINE-PYRUVATE-AMINOTRANSFER-MONOMER
ALANINE-SYN2-PWY	CPLX0-7888,CPLX0-7887
PWY0-1061	BRANCHED-CHAINAMINOTRANSFER-CPLX,CPLX0-8202,CPLX0-7465,VALINE-PYRUVATE-AMINOTRANSFER-MONOMER,CPLX0-248,CPLX0-246,MONOMER0-1241,CPLX0-7888,CPLX0-7887
PWY0-1021	CPLX0-248,CPLX0-246
FERMENTATION-PWY	PHOSACETYLTRANS-CPLX,CPLX0-7912,ACETATEKINA-MONOMER,KETOBUTFORMLY-MONOMER,PYRUVFORMLY-CPLX,G7285-MONOMER,ADHE-CPLX,CPLX0-8015,PKII-CPLX,PKI-COMPLEX,CPLX0-8158,FUMARASE-C,FUMARASE-B,FUMARASE-A,G6903-MONOMER,EG11162-MONOMER,MALIC-NAD-CPLX,MALATE-DEHASE,PEPCARBOX-CPLX,FHLMULTI-CPLX,FUMARATE-REDUCTASE,CITRATE-SI-SYNTHASE,CPLX0-7761,ISOCITHASE-CPLX
PWY0-1312	ACETATEKINA-MONOMER,PHOSACETYLTRANS-CPLX,CPLX0-7912
PWY-4261	GLYCEROL-KIN-CPLX,AERGLYC3PDEHYDROG-CPLX,ANGLYC3PDEHYDROG-CPLX
PWY-5686	CARBPSYN-CPLX,ASPCARBTRANS-CPLX,DIHYDROOROT-CPLX,OROPRIBTRANS-CPLX,OROTPDECARB-CPLX,DIHYDROOROTOX-MONOMER
ACETOACETATE-DEG-PWY	ACETYL-COA-ACETYLTRANSFER-CPLX,ACETOACETYL-COA-TRANSFER-CPLX,EG12432-MONOMER
PWY0-1545	PHOSPHAGLYPSYN-MONOMER,PGPPHOSPHAA-MONOMER,PGPPHOSPHAB-MONOMER,EG11371-MONOMER,G6551-MONOMER
PWY-6537	GABATRANSAM-CPLX,CPLX0-7688
PWY-5668	PGPPHOSPHAA-MONOMER,PGPPHOSPHAB-MONOMER,EG11371-MONOMER,CARDIOLIPSYN-MONOMER,G6406-MONOMER,PHOSPHAGLYPSYN-MONOMER
PWY-6535	G6646-MONOMER,CPLX0-7687,ALDHDEHYDROG-MONOMER
TRYPDEG-PWY	TRYPTOPHAN-CPLX
4AMINOBUTMETAB-PWY	CPLX0-7687,ALDHDEHYDROG-MONOMER,GABATRANSAM-CPLX,G6646-MONOMER,CPLX0-7688
ALADEG-PWY	CPLX0-8202,CPLX0-7465,DALADEHYDROG-CPLX
TCA	MALIC-NAD-CPLX,MALATE-DEHASE,FUMARASE-C,FUMARASE-B,FUMARASE-A,G6903-MONOMER,EG11162-MONOMER,SUCCCOASYN,2OXOGLUTARATEDEH-CPLX,ISOCITHASE-CPLX,CITRATE-SI-SYNTHASE,CPLX0-7760,CPLX0-7761,CPLX0-8160,EG12069-MONOMER
PWY-6910	PDXK-CPLX,HMP-P-KIN-CPLX
PWY0-1277	CPLX0-7950,DHPDIOXYGEN-CPLX,MHPHYDROXY-MONOMER,PHENPRODIOLDEHYDROG-MONOMER,HCAMULTI-CPLX,CPLX0-7951,MHPELY-MONOMER,G7285-MONOMER,ADHE-CPLX,MHPF-MONOMER
LIPA-CORESYN-PWY	EG11189-MONOMER,EG12210-MONOMER,EG11339-MONOMER,EG11340-MONOMER,EG11341-MONOMER,EG11425-MONOMER,EG11351-MONOMER,EG11352-MONOMER,EG11353-MONOMER,EG11423-MONOMER
PWY-6122	PRPPAMIDOTRANS-CPLX,GLYCRIBONUCSYN-MONOMER,FGAMSYN-MONOMER,AIRS-CPLX,GARTRANSFORMYL2-MONOMER
PWY0-1264	BIOTINLIG-MONOMER,BIOTIN-CARBOXYL-CPLX,ACETYL-COA-CARBOXYLTRANSFER-CPLX
PWY-7315	TDPFUCACTRANS-MONOMER,CPLX0-7990,CPLX0-8034,CPLX0-8012,DTDPGLUCDEHYDRAT-CPLX,DTDPGLUCDEHYDRAT2-MONOMER
KDO-NAGLIPASYN-PWY	KDOTRANS-MONOMER,CPLX0-7415,TETRAACYLDISACC4KIN-MONOMER,EG12666-MONOMER,CPLX0-8016,UDPACYLGLCNACDEACETYL-MONOMER,UDPNACETYLGLUCOSAMACYLTRANS-CPLX,LAUROYLACYLTRAN-MONOMER,PALMITOTRANS-MONOMER,MYRISTOYLACYLTRAN-MONOMER,CPM-KDOSYNTH-MONOMER,KDO-8PPHOSPHAT-CPLX,KDO-8PSYNTH-CPLX,CPLX0-1262,CPLX0-3929
