# From bin/get_pathway_genes.pl on Fri Aug 21 11:52:50 2020
# Pathway	Genes
SALVADEHYPOX-PWY	deoD,xapA,ppnP,add,xdhA,xdhB,xdhC,aphA,umpH,umpG,ushA,phoA
METHGLYUT-PWY	gloA,gloB,yeiG,gloC,dld,gpr,dkgB,dkgA,yeaE,yqhD,gldA,aldA,lldD
PWY0-1499	dpiA,dpiB
PWY0-1559	btsR,btsS
GLUAMCAT-PWY	nagB,nagA
PWY0-1470	qseB,qseC
PWY0-662	prs
PWY0-1503	glrR,glrK
ECASYN-PWY	rffM,wecF,rfe,rffC,wecE,rfbA,rffH,rffG,wecC,wecB,wzxE
KDOSYN-PWY	waaA
PWY0-1482	basR,basS
PWY0-1509	glnG,glnL
OANTIGEN-PWY	glf,rfbC,rfbD,rfbB,rffG,rfbA,rffH,glmU,glmS,glmM,pgi
GALACTMETAB-PWY	galK,galT,galE,galU,galM
PWY0-1487	creB,creC
PWY0-1241	hldE,gmhB,rfaD,gmhA
PWY0-1515	narP,narX,narL
PWY0-1280	aldA,fucO
PWY0-1493	rcsC,rcsB,rcsD
GLYCOL-GLYOXDEG-PWY	gcl,glxR,garK,glxK,aceB,glcB,glcD,glcE,glcF,aldA,fucO
PWY0-1498	zraR,zraS
GLYCEROLMETAB-PWY	gldA,dhaK,dhaL,dhaM
PWY0-381	glpK,glpQ,ugpQ,glpD,glpA,glpB,glpC
OXIDATIVEPENT-PWY	pgl,zwf,gnd
PROSYN-PWY	proC,proA,proB
NONOXIPENT-PWY	talB,talA,tktA,tktB,rpe,rpiB,rpiA
PWY0-1550	pyrS,pyrR
PENTOSE-P-PWY	talB,talA,tktA,tktB,rpe,rpiB,rpiA,pgl,zwf,gnd
PWY0-1546	ldcA,mepS,mpaA,ycjG,pepD
PWY0-521	frlB,frlD,frlC
HCAMHPDEG-PWY	mhpC,mhpB,mhpA,hcaB,hcaC,hcaD,hcaF,hcaE
PWY-6952	glpQ,ugpQ,glpD,glpA,glpB,glpC
PWY-6690	hcaC,hcaD,hcaF,hcaE,mhpB,mhpC,hcaB,mhpA
PWY-5509	cobS,cobC,cobT
ENTNER-DOUDOROFF-PWY	eda,edd
2PHENDEG-PWY	tynA,feaB
PWY0-1261	murQ,anmK,nagZ,ampD,amiD,nagA,glmM,glmU,ldcA,mepS,mpl,murA,murB
ILEUSYN-PWY	ilvD,ilvE,ilvC,ilvI,ilvH,G8221,ilvM,ilvA
BGALACT-PWY	lacZ
PWY0-1534	aspC,sseA
PWY0-522	lplA
PWY0-501	lipA,lipB,fdx,acpP
PWY0-1275	lplA,lipA,fdx
PWY0-1338	arnA,arnB,arnC,arnD,arnT
PWY-5194	cysG
PWY-6163	aroC,aroA,aroL,aroK,aroE,aroD
ARO-PWY	aroB,aroG,aroH,aroF,aroC,aroA,aroL,aroK,ydiB,aroE,aroD
GLYCOLYSIS-TCA-GLYOX-BYPASS	aceB,glcB,aceA,maeA,mdh,fumC,fumB,fumA,fumD,fumE,sucD,sucC,sucA,sucB,icd,gltA,prpC,acnA,acnB,sdhD,sdhC,sdhB,sdhA,mqo,pykA,pykF,eno,gpmM,pgk,gapA,tpiA,fbaA,fbaB,pfkB,pfkA,pgi,ppsA,fbp,glpX,ybhA,yggF,gpmA,aceE,aceF,lpd
PWY-6519	bioH,fabI,fabZ,fabG,bioC,fabB,bioF,acpP
GLYCOLYSIS-E-D	eda,edd,pykA,pykF,eno,gpmM,pgk,gapA,tpiA,fbaA,fbaB,pfkB,pfkA,pgi,ppsA,fbp,glpX,ybhA,yggF,gpmA,zwf,pgl
TREDEGLOW-PWY	treC,glk
PWY0-1517	pfkA,fbaA
GLYOXYLATE-BYPASS	maeA,mdh,aceB,aceA,gltA,acnA,acnB
PWY0-1466	treA
PWY0-1182	treF,glk
PWY-5755	ubiC
ALANINE-VALINESYN-PWY	ilvE,alr,dadX,avtA
ALANINE-SYN2-PWY	alaA,alaC
PWY0-1061	ilvE,alr,dadX,avtA,iscS,sufS,alaB,alaA,alaC
PWY0-1021	iscS,sufS
