# From bin/get_pathway_compounds.pl on Sun Jul 26 11:16:24 2020
# Pathway1	Pathway2	Shared compounds	Numbber of shared compounds
SALVADEHYPOX-PWY	GLUAMCAT-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	2PHENDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	ILEUSYN-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-5686	AMMONIUM	1
SALVADEHYPOX-PWY	TRYPDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	ALADEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	GLUTAMINDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	SERDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	RIBOSYN2-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	GLUTSYN-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	GLUTSYNIII-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1298	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1477	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-6071	AMMONIUM	1
SALVADEHYPOX-PWY	ORNDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	GLCMANNANAUT-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PLPSAL-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7181	AMMONIUM	1
SALVADEHYPOX-PWY	THRDLCTCAT-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1295	RIBOSE-1P,AMMONIUM	2
SALVADEHYPOX-PWY	PWY-5437	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-166	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-781	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1471	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-162	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-6703	AMMONIUM	1
SALVADEHYPOX-PWY	PRPP-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7211	AMMONIUM	1
SALVADEHYPOX-PWY	ORNARGDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	MET-SAM-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	AST-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	ARGDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	THREOCAT-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-845	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1585	AMMONIUM	1
SALVADEHYPOX-PWY	LCYSDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7176	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7187	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1535	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7195	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-181	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-6556	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7194	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-163	RIBOSE-1P,AMMONIUM	2
SALVADEHYPOX-PWY	PWY-7193	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7196	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7208	AMMONIUM	1
SALVADEHYPOX-PWY	METSYN-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	HOMOSER-METSYN-PWY	AMMONIUM	1
